marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,Cluster
Volvo,S80 T6,272,très longue,5,5,blanc,False,50500,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,noir,False,50500,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,rouge,False,50500,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,gris,True,35350,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,bleu,True,35350,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,gris,False,50500,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,bleu,False,50500,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,rouge,True,35350,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,blanc,True,35350,Sport Utility Cars
Volvo,S80 T6,272,très longue,5,5,noir,True,35350,Sport Utility Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,False,27340,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,True,19138,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,True,19138,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,gris,False,27340,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,bleu,False,27340,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,True,19138,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,True,19138,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,rouge,True,19138,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,blanc,False,27340,Family Cars
Volkswagen,Touran 2.0 FSI,150,longue,7,5,noir,False,27340,Family Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,True,8540,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,False,12200,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,False,12200,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,True,8540,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,True,8540,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,False,12200,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,True,8540,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,False,12200,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,False,12200,City Cars
Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,True,8540,City Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,True,18641,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,True,18641,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,True,18641,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,True,18641,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,True,18641,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,rouge,False,26630,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,gris,False,26630,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,False,26630,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,blanc,False,26630,Sport Utility Cars
Volkswagen,New Beatle 1.8,110,moyenne,5,5,noir,False,26630,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,True,16029,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,True,16029,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,True,16029,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,True,16029,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,True,16029,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,blanc,False,22900,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,False,22900,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,False,22900,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,False,22900,Sport Utility Cars
Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,False,22900,Sport Utility Cars
Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,False,31790,Sport Utility Cars
Skoda,Superb 2.8 V6,193,très longue,5,5,gris,False,31790,Sport Utility Cars
Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,False,31790,Sport Utility Cars
Skoda,Superb 2.8 V6,193,très longue,5,5,noir,False,31790,Sport Utility Cars
Skoda,Superb 2.8 V6,193,très longue,5,5,blanc,False,31790,Sport Utility Cars
Seat,Toledo 1.6,102,longue,5,5,blanc,False,18880,Sport Utility Cars
Seat,Toledo 1.6,102,longue,5,5,noir,False,18880,Sport Utility Cars
Seat,Toledo 1.6,102,longue,5,5,rouge,False,18880,Sport Utility Cars
Seat,Toledo 1.6,102,longue,5,5,gris,False,18880,Sport Utility Cars
Seat,Toledo 1.6,102,longue,5,5,bleu,False,18880,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,blanc,True,27020,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,rouge,True,27020,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,gris,True,27020,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,bleu,True,27020,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,noir,True,27020,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,gris,False,38600,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,bleu,False,38600,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,noir,False,38600,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,rouge,False,38600,Sport Utility Cars
Saab,9.3 1.8T,150,longue,5,5,blanc,False,38600,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,True,34440,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,True,34440,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,True,34440,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,True,34440,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,True,34440,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,False,49200,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,False,49200,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,False,49200,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,False,49200,Sport Utility Cars
Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,False,49200,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,True,15644,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,True,15644,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,True,15644,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,True,15644,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,True,15644,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,gris,False,22350,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,False,22350,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,False,22350,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,noir,False,22350,Sport Utility Cars
Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,False,22350,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,rouge,True,19110,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,gris,True,19110,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,bleu,True,19110,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,blanc,True,19110,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,noir,True,19110,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,gris,False,27300,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,bleu,False,27300,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,rouge,False,27300,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,noir,False,27300,Sport Utility Cars
Renault,Laguna 2.0T,170,longue,5,5,blanc,False,27300,Sport Utility Cars
